"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 19:42:20 UTC 2026","Thu Apr 09 19:42:25 UTC 2026","4770","","","","","","[QA] verify product Headers Samsung Galaxy Tab 10.1",""
"passed","Thu Apr 09 19:42:25 UTC 2026","Thu Apr 09 19:42:30 UTC 2026","4720","","","","","","[QA] verify product Images MacBook Pro : 4",""
"passed","Thu Apr 09 19:42:44 UTC 2026","Thu Apr 09 19:42:48 UTC 2026","4787","","","","","","[QA] verify product Pricing @sample",""
"passed","Thu Apr 09 19:42:06 UTC 2026","Thu Apr 09 19:42:12 UTC 2026","6167","","","","","","[QA] verify product Headers MacBook Pro",""
"passed","Thu Apr 09 19:42:39 UTC 2026","Thu Apr 09 19:42:44 UTC 2026","4494","","","","","","[QA] verify product MetaData @sample",""
"passed","Thu Apr 09 19:42:34 UTC 2026","Thu Apr 09 19:42:39 UTC 2026","4686","","","","","","[QA] verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Thu Apr 09 19:42:15 UTC 2026","Thu Apr 09 19:42:20 UTC 2026","4751","","","","","","[QA] verify product Headers MacBook Air",""
"passed","Thu Apr 09 19:42:30 UTC 2026","Thu Apr 09 19:42:34 UTC 2026","4780","","","","","","[QA] verify product Images MacBook Air : 4",""
