"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 19:44:32 UTC 2026","Thu Apr 09 19:44:38 UTC 2026","5565","","","","","","[STAGE] verify product Images Samsung Galaxy Tab 10.1 : 7",""
"passed","Thu Apr 09 19:44:03 UTC 2026","Thu Apr 09 19:44:09 UTC 2026","6346","","","","","","[STAGE] verify product Headers MacBook Pro",""
"passed","Thu Apr 09 19:44:21 UTC 2026","Thu Apr 09 19:44:27 UTC 2026","5655","","","","","","[STAGE] verify product Images MacBook Pro : 4",""
"passed","Thu Apr 09 19:44:16 UTC 2026","Thu Apr 09 19:44:21 UTC 2026","5335","","","","","","[STAGE] verify product Headers Samsung Galaxy Tab 10.1",""
"passed","Thu Apr 09 19:44:38 UTC 2026","Thu Apr 09 19:44:43 UTC 2026","5334","","","","","","[STAGE] verify product MetaData @sample",""
"passed","Thu Apr 09 19:44:27 UTC 2026","Thu Apr 09 19:44:32 UTC 2026","5339","","","","","","[STAGE] verify product Images MacBook Air : 4",""
"passed","Thu Apr 09 19:44:10 UTC 2026","Thu Apr 09 19:44:16 UTC 2026","5640","","","","","","[STAGE] verify product Headers MacBook Air",""
"passed","Thu Apr 09 19:44:43 UTC 2026","Thu Apr 09 19:44:48 UTC 2026","5378","","","","","","[STAGE] verify product Pricing @sample",""
